group_label,periode,aantal_oprichtingen,standaard_fout,n_observaties
"Vlaanderen - Bouwsector","Voor 2019",6162,245,4
"Vlaanderen - Bouwsector","Na 2019",11155,487,4
"Vlaanderen - Andere Sectoren","Voor 2019",1524,89,84
"Vlaanderen - Andere Sectoren","Na 2019",1876,112,84
"Andere Gewesten - Bouwsector","Voor 2019",2846,156,8
"Andere Gewesten - Bouwsector","Na 2019",3103,189,8
