NACE2,Sectieomschrijving,Beroepen
10,Vervaardiging van voedingsmiddelen,Brood- en banketbakker (productie)
41,Bouw van gebouwen,"Ruwbouw, algemeen aannemer"
43,Gespecialiseerde bouwwerkzaamheden,"Stukadoor, cementeer en dekvloer, tegel/marmer/natuursteen, dakdekker en waterdichting, schrijnwerker (plaatsen/herstellen), glazenmaker, algemeen schrijnwerk, eindafwerking, centrale verwarming/klimaatregeling/gas/sanitair, elektrotechnische activiteiten, installateurs-frigoristen"
45,Handel in en reparatie van auto's en motorfietsen,Zelfstandige activiteiten met betrekking tot fietsen en motorvoertuigen
47,Detailhandel (niet in auto's en motorfietsen),"Brood- en banketbakker (detailhandel), opticien"
56,Eet- en drinkgelegenheden,"Restaurateur, traiteur-banketaannemer"
96,Overige persoonlijke dienstverlening,"Kapper, schoonheidsspecialist, begrafenisondernemer"
